project_number,project_name,part_name,original_label
300868,Superman PF,head,01_-_Head
300868,Superman PF,body,02_-_Body
300868,Superman PF,right_arm,03_-_Right_Arm
300868,Superman PF,right_thigh,04_-_Right_Thigh
300868,Superman PF,right_boot,05_-_right_boot
300868,Superman PF,left_boot,06_-_left_boot
300868,Superman PF,cape,07_-_cape
300868,Superman PF,smoke_base,08_-_smoke_base
300868,Superman PF,smoke1,09_-_smoke1
300868,Superman PF,smoke2,10_-_smoke2
300868,Superman PF,smoke3,11_-_smoke3
300868,Superman PF,smoke4,12_-_smoke4
300868,Superman PF,smoke5,13_-_smoke5
300868,Superman PF,smoke6,14_-_smoke6
300868,Superman PF,base,15_-_base
